"date.mated"	"IDf"	"IDm"	"host"	"IDo"	"Whost"	"dev.dur.o"	"sex"	"Wo"	"WH"	"ord.f"
"11.3.18"	"d2"	"s2"	"M"	"M-2-8"	55.659	30	"m"	3.278	-2.23119329482312	1
"11.3.18"	"d3"	"s3"	"M"	"M-3-3"	63.868	30	"m"	4.323	-1.11151786588241	1
"11.3.18"	"d3"	"s3"	"M"	"M-3-4"	73.056	30	"m"	3.299	0.141689326358704	1
"11.3.18"	"d4"	"s4"	"M"	"M-4-6"	62.958	31	"m"	4.61	-1.23563829959371	1
"11.3.18"	"d4"	"s4"	"M"	"M-4-7"	71.387	30	"m"	4.359	-0.0859557328326776	1
"11.3.18"	"d4"	"s4"	"M"	"M-4-8"	80.814	30	"m"	4.166	1.19985012276778	1
"11.3.18"	"d5"	"s5"	"M"	"M-5-7"	74.431	30	"m"	3.78	0.329233937735666	1
"11.3.18"	"d6"	"s6"	"M"	"M-6-2"	73.764	33	"m"	2.481	0.238257751707714	1
"11.3.18"	"d6"	"s6"	"M"	"M-6-5"	94.163	31	"m"	3.357	3.02060140805583	1
"11.3.18"	"d6"	"s6"	"M"	"M-6-6"	74.916	31	"m"	3.735	0.395386037021358	1
"11.3.18"	"d6"	"s6"	"M"	"M-6-7"	70.974	32	"m"	3.239	-0.142287314286267	1
"11.3.18"	"d7"	"s7"	"M"	"M-7-2"	66.153	30	"m"	3.881	-0.799852820794147	1
"11.3.18"	"d7"	"s7"	"M"	"M-7-7"	70.767	30	"m"	3.76	-0.170521303053563	1
"11.3.18"	"d7"	"s7"	"M"	"M-7-9"	67.162	31	"m"	3.014	-0.662229175063707	1
"11.3.18"	"d8"	"s8"	"M"	"M-8-7"	66.919	30	"m"	3.557	-0.695373422747055	1
"11.3.18"	"d12"	"s2"	"M"	"M-12-1"	70.654	30	"m"	3.592	-0.185934060206724	2
"11.3.18"	"d12"	"s2"	"M"	"M-12-3"	74.505	32	"m"	3.026	0.339327247729772	2
"11.3.18"	"d12"	"s2"	"M"	"M-12-4"	73.331	30	"m"	3.629	0.179198248634097	2
"11.3.18"	"d18"	"s8"	"M"	"M-18-1"	77.451	31	"m"	3.84	0.741150102359976	2
"11.3.18"	"d19"	"s9"	"M"	"M-19-4"	75.914	31	"m"	3.971	0.531509325860783	2
"11.3.18"	"d19"	"s9"	"M"	"M-19-10"	69.088	30	"m"	3.722	-0.39953032305496	2
"11.3.18"	"d22"	"s2"	"M"	"M-22-3"	69.74	30	"m"	3.535	-0.310600078242029	3
"11.3.18"	"d23"	"s3"	"M"	"M-23-2"	62.396	30	"m"	3.708	-1.31229289711651	3
"11.3.18"	"d26"	"s6"	"M"	"M-26-2"	75.656	30	"m"	3.709	0.496319136962416	3
"11.3.18"	"d26"	"s6"	"M"	"M-26-6"	80.316	33	"m"	2.628	1.13192487442907	3
"11.3.18"	"d26"	"s6"	"M"	"M-26-7"	87.912	31	"m"	3.429	2.16798950571591	3
"11.3.18"	"d26"	"s6"	"M"	"M-26-8"	74.458	31	"m"	4.257	0.332916631922705	3
"11.3.18"	"d26"	"s6"	"M"	"M-26-10"	64.659	31	"m"	3.865	-1.00362856581028	3
"11.3.18"	"d27"	"s7"	"M"	"M-27-3"	69.286	30	"m"	3.919	-0.372523899016676	3
"11.3.18"	"d27"	"s7"	"M"	"M-27-5"	59.777	30	"m"	3.53	-1.66951423325925	3
"11.3.18"	"d27"	"s7"	"M"	"M-27-6"	79.082	30	"m"	3.939	0.963612110473304	3
"11.3.18"	"d27"	"s7"	"M"	"M-27-8"	75.988	30	"m"	4.537	0.541602635854889	3
"11.3.18"	"d27"	"s7"	"M"	"M-27-9"	85.195	32	"m"	2.714	1.79740135363503	3
"11.3.18"	"d28"	"s8"	"M"	"M-28-1"	78.916	30	"m"	4.16	0.940970361027067	3
"11.3.18"	"d28"	"s8"	"M"	"M-28-3"	68.798	30	"m"	2.82	-0.439085186545372	3
"11.3.18"	"d29"	"s9"	"M"	"M-29-3"	82.479	30	"m"	3.688	1.42694959763515	3
"11.3.18"	"d32"	"s2"	"M"	"M-32-1"	68.525	30	"m"	3.105	-0.476321316658761	4
"11.3.18"	"d32"	"s2"	"M"	"M-32-2"	73.479	31	"m"	3.403	0.199384868622308	4
"11.3.18"	"d32"	"s2"	"M"	"M-32-7"	62.694	30	"m"	3.734	-1.27164686497808	4
"11.3.18"	"d33"	"s3"	"M"	"M-33-2"	83.611	30	"m"	4.055	1.58134996132877	4
