id Weight Body_Length Tail_Length Sex Calendar_year Age Who Cohort Cell ID_Trapping_Session Wolfgruoben Xpos Ypos Year Origin Julian RelativeJulian Mother fitnessR animal Age3 YoungWeight AdWeight Ad1Weight Ad2Weight f LRS BMI
CN06-001 34 NA NA Female 2006 A PW 2005 R8 3 FALSE 75 85 2006 2006-01-01 164 20 0 0 CN06-001 1 NA 34 34 NA 0 0 NA
CN06-001 34 NA NA Female 2006 A PW 2005 S9 3 FALSE 85 75 2006 2006-01-01 164 20 0 0 CN06-001 1 NA 34 34 NA 0 0 NA
CN06-001 34 NA 54 Female 2006 A PW 2005 R7 1 FALSE 65 85 2006 2006-01-01 144 0 0 0 CN06-001 1 NA 34 34 NA 0 0 NA
CN06-002 37 NA 53 Male 2006 A PW 2005 Q7 1 FALSE 65 95 2006 2006-01-01 144 0 0 3.28057553956835 CN06-002 1 NA 37 37 NA 0 5 NA
CN06-002 40 NA 53 Male 2006 A PW 2005 M6 3 FALSE 55 135 2006 2006-01-01 164 20 0 3.28057553956835 CN06-002 1 NA 40 40 NA 0 5 NA
CN06-002 36 NA 56 Male 2006 A PW 2005 O5 4 FALSE 45 115 2006 2006-01-01 165 21 0 3.28057553956835 CN06-002 1 NA 36 36 NA 0 5 NA
CN06-002 NA NA NA Male 2006 A PW 2005 P13 7 FALSE 125 105 2006 2006-01-01 186 42 0 3.28057553956835 CN06-002 1 NA NA NA NA 0 5 NA
CN06-002 43 NA NA Male 2006 A SR/PW/TB 2005 M16 23 FALSE 155 135 2006 2006-01-01 228 84 0 3.28057553956835 CN06-002 1 NA 43 43 NA 0 5 NA
CN06-003 30 NA 50 Female 2006 A PW 2005 P6 1 FALSE 55 105 2006 2006-01-01 144 0 CN06-013 0 CN06-003 1 NA 30 30 NA 0 0 NA
CN06-004 NA NA NA Female 2006 A PW 2005 R6 3 FALSE 55 85 2006 2006-01-01 164 20 0 1.31223021582734 CN06-004 1 NA NA NA NA 0 2 NA
CN06-004 51 NA NA Female 2006 A PW/SR 2005 T6 36 FALSE 55 65 2006 2006-01-01 264 120 0 1.31223021582734 CN06-004 1 NA 51 51 NA 0 2 NA
CN06-004 54 NA NA Female 2006 A PW/SR 2005 S7 35 FALSE 65 75 2006 2006-01-01 263 119 0 1.31223021582734 CN06-004 1 NA 54 54 NA 0 2 NA
CN06-004 51 NA NA Female 2006 A SR/MW 2005 R8 34 FALSE 75 85 2006 2006-01-01 255 111 0 1.31223021582734 CN06-004 1 NA 51 51 NA 0 2 NA
CN06-004 46 NA NA Female 2006 A SR/PW/TB 2005 R6 24 FALSE 55 85 2006 2006-01-01 229 85 0 1.31223021582734 CN06-004 1 NA 46 46 NA 0 2 NA
CN06-004 50 NA NA Female 2006 A SR/PW 2005 S7 17 FALSE 65 75 2006 2006-01-01 220 76 0 1.31223021582734 CN06-004 1 NA 50 50 NA 0 2 NA
CN06-004 48 NA NA Female 2006 A PW 2005 T7 7 FALSE 65 65 2006 2006-01-01 186 42 0 1.31223021582734 CN06-004 1 NA 48 48 NA 0 2 NA
CN06-004 35 NA 51 Female 2006 A PW 2005 T7 1 FALSE 65 65 2006 2006-01-01 144 0 0 1.31223021582734 CN06-004 1 NA 35 35 NA 0 2 NA
CN06-004 53 NA NA Female 2006 A SR/PW 2005 T5 15 FALSE 45 65 2006 2006-01-01 219 75 0 1.31223021582734 CN06-004 1 NA 53 53 NA 0 2 NA
CN06-005 53 NA NA Male 2006 A PW 2005 V16 9 FALSE 155 45 2006 2006-01-01 199 55 0 3.28057553956835 CN06-005 1 NA 53 53 NA 0 5 NA
CN06-005 46 NA NA Male 2006 A SR/PW 2005 S14 17 FALSE 135 75 2006 2006-01-01 220 76 0 3.28057553956835 CN06-005 1 NA 46 46 NA 0 5 NA
CN06-005 50 NA NA Male 2006 A SR/UK 2005 U17 28 FALSE 165 55 2006 2006-01-01 243 99 0 3.28057553956835 CN06-005 1 NA 50 50 NA 0 5 NA
CN06-005 49 NA NA Male 2006 A SR/PW/TB 2005 R15 22 FALSE 145 85 2006 2006-01-01 227 83 0 3.28057553956835 CN06-005 1 NA 49 49 NA 0 5 NA
CN06-005 51 NA NA Male 2006 A SR/PW 2005 W15 15 FALSE 145 35 2006 2006-01-01 219 75 0 3.28057553956835 CN06-005 1 NA 51 51 NA 0 5 NA
CN06-005 52 NA NA Male 2006 A PW 2005 R12 6 FALSE 115 85 2006 2006-01-01 185 41 0 3.28057553956835 CN06-005 1 NA 52 52 NA 0 5 NA
CN06-005 50 NA NA Male 2006 A PW 2005 P8 4 FALSE 75 105 2006 2006-01-01 165 21 0 3.28057553956835 CN06-005 1 NA 50 50 NA 0 5 NA
CN06-005 46 NA 55 Male 2006 A PW 2005 O9 3 FALSE 85 115 2006 2006-01-01 164 20 0 3.28057553956835 CN06-005 1 NA 46 46 NA 0 5 NA
CN06-005 45 NA 49 Male 2006 A PW 2005 R7 2 FALSE 65 85 2006 2006-01-01 145 1 0 3.28057553956835 CN06-005 1 NA 45 45 NA 0 5 NA
CN06-005 49 NA NA Male 2006 A SR/PW/TB 2005 R15 24 FALSE 145 85 2006 2006-01-01 229 85 0 3.28057553956835 CN06-005 1 NA 49 49 NA 0 5 NA
CN06-005 51 NA NA Male 2006 A PW 2005 T13 7 FALSE 125 65 2006 2006-01-01 186 42 0 3.28057553956835 CN06-005 1 NA 51 51 NA 0 5 NA
CN06-006 35 NA 54 Male 2006 A PW 2005 S10 2 FALSE 95 75 2006 2006-01-01 145 1 0 1.96834532374101 CN06-006 1 NA 35 35 NA 0 3 NA
CN06-006 42 NA 46 Male 2006 A PW 2005 S10 4 FALSE 95 75 2006 2006-01-01 165 21 0 1.96834532374101 CN06-006 1 NA 42 42 NA 0 3 NA
CN06-007 40 NA NA Female 2006 A PW/SR 2005 S9 35 FALSE 85 75 2006 2006-01-01 263 119 0 5.24892086330935 CN06-007 1 NA 40 40 NA 0 8 NA
CN06-007 56 113 69 Female 2007 A JR 2005 P9 56 FALSE 85 105 2007 2007-01-01 226 82 0 5.24892086330935 CN06-007 2 NA 56 NA 56 0 8 0.495575221238938
CN06-007 46 118 64 Female 2007 A PW 2005 S10 55 FALSE 95 75 2007 2007-01-01 225 81 0 5.24892086330935 CN06-007 2 NA 46 NA 46 0 8 0.389830508474576
CN06-007 59 NA NA Female 2007 A PW 2005 R9 52 FALSE 85 85 2007 2007-01-01 198 54 0 5.24892086330935 CN06-007 2 NA 59 NA 59 0 8 NA
CN06-007 52 110 61 Female 2007 A JR 2005 S11 51 FALSE 105 75 2007 2007-01-01 197 53 0 5.24892086330935 CN06-007 2 NA 52 NA 52 0 8 0.472727272727273
CN06-007 48 119 62 Female 2007 A PW 2005 T9 47 FALSE 85 65 2007 2007-01-01 169 25 0 5.24892086330935 CN06-007 2 NA 48 NA 48 0 8 0.403361344537815
CN06-007 44 117 62 Female 2007 A PW 2005 Q7 44 FALSE 65 95 2007 2007-01-01 163 19 0 5.24892086330935 CN06-007 2 NA 44 NA 44 0 8 0.376068376068376
CN06-007 35 NA NA Female 2006 A PW/SR 2005 S9 36 FALSE 85 75 2006 2006-01-01 264 120 0 5.24892086330935 CN06-007 1 NA 35 35 NA 0 8 NA
CN06-007 40 NA NA Female 2006 A SR/MW 2005 Q8 34 FALSE 75 95 2006 2006-01-01 255 111 0 5.24892086330935 CN06-007 1 NA 40 40 NA 0 8 NA
CN06-007 41 NA NA Female 2006 A SR/MW 2005 Q8 33 FALSE 75 95 2006 2006-01-01 254 110 0 5.24892086330935 CN06-007 1 NA 41 41 NA 0 8 NA
CN06-007 40 NA NA Female 2006 A SR/PW/TB 2005 R8 24 FALSE 75 85 2006 2006-01-01 229 85 0 5.24892086330935 CN06-007 1 NA 40 40 NA 0 8 NA
CN06-007 37 NA 58 Female 2006 A SR 2005 R10 23 FALSE 95 85 2006 2006-01-01 228 84 0 5.24892086330935 CN06-007 1 NA 37 37 NA 0 8 NA
CN06-007 37 NA NA Female 2006 A PW 2005 P9 4 FALSE 85 105 2006 2006-01-01 165 21 0 5.24892086330935 CN06-007 1 NA 37 37 NA 0 8 NA
CN06-007 38 NA 54 Female 2006 A PW 2005 P9 3 FALSE 85 105 2006 2006-01-01 164 20 0 5.24892086330935 CN06-007 1 NA 38 38 NA 0 8 NA
CN06-007 44 119 59 Female 2007 A PW 2005 T9 43 FALSE 85 65 2007 2007-01-01 162 18 0 5.24892086330935 CN06-007 2 NA 44 NA 44 0 8 0.369747899159664
CN06-010 52 NA 56 Male 2006 A PW 2005 M5 3 FALSE 45 135 2006 2006-01-01 164 20 0 0 CN06-010 1 NA 52 52 NA 0 0 NA
CN06-010 53 NA 57 Male 2006 A PW 2005 O5 3 FALSE 45 115 2006 2006-01-01 164 20 0 0 CN06-010 1 NA 53 53 NA 0 0 NA
CN06-011 31 NA 52 Female 2006 A PW 2005 M4 3 FALSE 35 135 2006 2006-01-01 164 20 CN06-013 1.96834532374101 CN06-011 1 NA 31 31 NA 0 3 NA
CN06-011 35 NA NA Female 2006 A SR/PW/TB 2005 P5 22 FALSE 45 105 2006 2006-01-01 227 83 CN06-013 1.96834532374101 CN06-011 1 NA 35 35 NA 0 3 NA
CN06-011 40 NA NA Female 2006 A SR/PW/TB 2005 P5 23 FALSE 45 105 2006 2006-01-01 228 84 CN06-013 1.96834532374101 CN06-011 1 NA 40 40 NA 0 3 NA
CN06-011 NA NA NA Female 2006 A SR/PW/TB 2005 P5 24 FALSE 45 105 2006 2006-01-01 229 85 CN06-013 1.96834532374101 CN06-011 1 NA NA NA NA 0 3 NA
CN06-012 41 NA 53 Female 2006 A PW 2005 O6 3 FALSE 55 115 2006 2006-01-01 164 20 0 0.656115107913669 CN06-012 1 NA 41 41 NA 0 1 NA
CN06-012 41 NA NA Female 2006 A PW 2005 O7 3 FALSE 65 115 2006 2006-01-01 164 20 0 0.656115107913669 CN06-012 1 NA 41 41 NA 0 1 NA
