id,Weight,Body_Length,Tail_Length,Sex,Year,Age,Xpos,Ypos,Mother,inbreeding,temperature,humidity,Birds_seen
CN06-001,34,109,53,Female,2006,A,75,85,0,0,10.5,49.1854920369622,1
CN06-001,34,109,53,Female,2006,A,85,75,0,0,13.8,27.1150356047024,6
CN06-001,34,109,54,Female,2006,A,65,85,0,0,13.5,71.0599538489149,1
CN06-002,37,109,53,Male,2006,A,65,95,0,0,14.8,74.5333930862117,1
CN06-002,40,109,53,Male,2006,A,55,135,0,0,12,38.1515708971667,5
CN06-002,36,109,56,Male,2006,A,45,115,0,0,13.8,45.1063833231841,0
CN06-002,43,109,53,Male,2006,A,155,135,0,0,9.3,82.2546991140366,3
CN06-003,30,109,50,Female,2006,A,55,105,CN06-013,0,11.7,32.3766192122552,6
CN06-004,51,109,53,Female,2006,A,55,65,0,0,13.9,63.9031535887508,3
CN06-004,54,109,53,Female,2006,A,65,75,0,0,19.1,32.9257999678343,2
CN06-004,51,109,53,Female,2006,A,75,85,0,0,12.4,79.6868103971146,1
CN06-004,46,109,53,Female,2006,A,55,85,0,0,14.7,95.0368036647804,1
CN06-004,50,109,53,Female,2006,A,65,75,0,0,9.7,80.5910664436757,2
CN06-004,48,109,53,Female,2006,A,65,65,0,0,16.2,83.4571030053014,1
CN06-004,35,109,51,Female,2006,A,65,65,0,0,12.8,38.263632054195,3
CN06-004,53,109,53,Female,2006,A,45,65,0,0,3.5,85.9943029996784,5
CN06-005,53,109,53,Male,2006,A,155,45,0,0,14.8,75.1763156796246,2
CN06-005,46,109,53,Male,2006,A,135,75,0,0,15.6,58.8461908657987,3
CN06-005,50,109,53,Male,2006,A,165,55,0,0,15,63.3196149737736,1
CN06-005,49,109,53,Male,2006,A,145,85,0,0,12.9,60.7421133562937,2
CN06-005,51,109,53,Male,2006,A,145,35,0,0,15.3,67.8920179712037,2
CN06-005,52,109,53,Male,2006,A,115,85,0,0,12.6,76.2457399450217,2
CN06-005,50,109,53,Male,2006,A,75,105,0,0,16.9,79.5622861019192,6
CN06-005,46,109,55,Male,2006,A,85,115,0,0,8.1,70.3750271212104,3
CN06-005,45,109,49,Male,2006,A,65,85,0,0,15.9,85.9424551660794,2
CN06-005,49,109,53,Male,2006,A,145,85,0,0,14.8,30.3843903861544,6
CN06-005,51,109,53,Male,2006,A,125,65,0,0,15.8,75.7751829599508,3
CN06-006,35,109,54,Male,2006,A,95,75,0,0,12.1,40.2625809128982,3
CN06-006,42,109,46,Male,2006,A,95,75,0,0,14.4,79.0772159395388,2
CN06-007,40,109,53,Female,2006,A,85,75,0,0,15.4,63.2618402233829,2
CN06-007,56,113,69,Female,2007,A,85,105,0,0,13.3,84.5235549582462,3
CN06-007,46,118,64,Female,2007,A,95,75,0,0,7.6,58.3964223919991,3
CN06-007,59,109,53,Female,2007,A,85,85,0,0,15.1,90.6954758640592,3
CN06-007,52,110,61,Female,2007,A,105,75,0,0,10.7,87.9815190165954,2
CN06-007,48,119,62,Female,2007,A,85,65,0,0,7.7,69.3675158968613,4
CN06-007,44,117,62,Female,2007,A,65,95,0,0,15.6,78.6527066594658,4
CN06-007,35,109,53,Female,2006,A,85,75,0,0,18.9,74.2302477362555,3
CN06-007,40,109,53,Female,2006,A,75,95,0,0,13.4,78.2898491639483,2
CN06-007,41,109,53,Female,2006,A,75,95,0,0,16.1,75.3006329885123,2
CN06-007,40,109,53,Female,2006,A,75,85,0,0,11.3,69.8634882995958,5
CN06-007,37,109,58,Female,2006,A,95,85,0,0,12,50.5571776749265,2
CN06-007,37,109,53,Female,2006,A,85,105,0,0,17.5,88.515793872456,9
CN06-007,38,109,54,Female,2006,A,85,105,0,0,11.7,52.9450585798111,3
CN06-007,44,119,59,Female,2007,A,85,65,0,0,15.8,65.6054735684817,2
CN06-010,52,109,56,Male,2006,A,45,135,0,0,10.6,85.4959581219613,2
CN06-010,53,109,57,Male,2006,A,45,115,0,0,13.8,92.4288662417519,1
