id,EscapeDistance,Tail_Length,Sex,Year,Age3,Xpos,Ypos,Mother,Julian
CN06-001,34,NA,Female,2006,1,75,85,0,164
CN06-001,34,NA,Female,2006,1,85,75,0,164
CN06-001,34,54,Female,2006,1,65,85,0,144
CN06-002,37,53,Male,2006,1,65,95,0,144
CN06-002,40,53,Male,2006,1,55,135,0,164
CN06-002,36,56,Male,2006,1,45,115,0,165
CN06-002,NA,NA,Male,2006,1,125,105,0,186
CN06-002,43,NA,Male,2006,1,155,135,0,228
CN06-003,30,50,Female,2006,1,55,105,CN06-013,144
CN06-004,NA,NA,Female,2006,1,55,85,0,164
CN06-004,51,NA,Female,2006,1,55,65,0,264
CN06-004,54,NA,Female,2006,1,65,75,0,263
CN06-004,51,NA,Female,2006,1,75,85,0,255
CN06-004,46,NA,Female,2006,1,55,85,0,229
CN06-004,50,NA,Female,2006,1,65,75,0,220
CN06-004,48,NA,Female,2006,1,65,65,0,186
CN06-004,35,51,Female,2006,1,65,65,0,144
CN06-004,53,NA,Female,2006,1,45,65,0,219
CN06-005,53,NA,Male,2006,1,155,45,0,199
CN06-005,46,NA,Male,2006,1,135,75,0,220
CN06-005,50,NA,Male,2006,1,165,55,0,243
CN06-005,49,NA,Male,2006,1,145,85,0,227
CN06-005,51,NA,Male,2006,1,145,35,0,219
CN06-005,52,NA,Male,2006,1,115,85,0,185
CN06-005,50,NA,Male,2006,1,75,105,0,165
CN06-005,46,55,Male,2006,1,85,115,0,164
CN06-005,45,49,Male,2006,1,65,85,0,145
CN06-005,49,NA,Male,2006,1,145,85,0,229
CN06-005,51,NA,Male,2006,1,125,65,0,186
CN06-006,35,54,Male,2006,1,95,75,0,145
CN06-006,42,46,Male,2006,1,95,75,0,165
CN06-007,40,NA,Female,2006,1,85,75,0,263
CN06-007,56,69,Female,2007,2,85,105,0,226
CN06-007,46,64,Female,2007,2,95,75,0,225
CN06-007,59,NA,Female,2007,2,85,85,0,198
CN06-007,52,61,Female,2007,2,105,75,0,197
CN06-007,48,62,Female,2007,2,85,65,0,169
CN06-007,44,62,Female,2007,2,65,95,0,163
CN06-007,35,NA,Female,2006,1,85,75,0,264
CN06-007,40,NA,Female,2006,1,75,95,0,255
CN06-007,41,NA,Female,2006,1,75,95,0,254
CN06-007,40,NA,Female,2006,1,75,85,0,229
CN06-007,37,58,Female,2006,1,95,85,0,228
CN06-007,37,NA,Female,2006,1,85,105,0,165
CN06-007,38,54,Female,2006,1,85,105,0,164
CN06-007,44,59,Female,2007,2,85,65,0,162
CN06-010,52,56,Male,2006,1,45,135,0,164
CN06-010,53,57,Male,2006,1,45,115,0,164
CN06-011,31,52,Female,2006,1,35,135,CN06-013,164
CN06-011,35,NA,Female,2006,1,45,105,CN06-013,227
CN06-011,40,NA,Female,2006,1,45,105,CN06-013,228
CN06-011,NA,NA,Female,2006,1,45,105,CN06-013,229
CN06-012,41,53,Female,2006,1,55,115,0,164
CN06-012,41,NA,Female,2006,1,65,115,0,164
CN06-013,39,58,Female,2006,2,35,95,0,164
CN06-014,40,51,Female,2006,1,25,85,0,164
CN06-014,39,NA,Female,2006,1,45,65,0,186
CN06-015,47,57,Male,2006,1,45,85,0,164
CN06-015,49,58,Male,2006,1,55,75,0,219
CN06-015,41,56,Male,2006,1,45,125,0,228
CN06-017,42,52,Male,2006,1,65,105,0,164
CN06-017,35,52.5,Male,2006,1,115,65,0,220
CN06-017,42,NA,Male,2006,1,115,55,0,219
CN06-017,43,NA,Male,2006,1,65,95,0,165
CN06-017,47,56,Male,2006,1,95,55,0,186
CN06-018,41,NA,Male,2006,1,35,85,0,165
CN06-018,35,NA,Male,2006,1,35,95,0,229
CN06-018,38,NA,Male,2006,1,35,95,0,228
CN06-018,42,NA,Male,2006,1,45,95,0,227
CN06-018,NA,NA,Male,2006,1,25,65,0,220
CN06-018,37,NA,Male,2006,1,45,75,0,186
CN06-018,42,53,Male,2006,1,35,85,0,164
CN06-018,NA,NA,Male,2006,1,35,65,0,219
CN06-021,42,NA,Female,2006,1,105,95,0,229
CN06-021,40,30,Female,2006,1,95,95,0,165
CN06-021,NA,NA,Female,2006,1,115,85,0,186
CN06-021,44,30,Female,2006,1,95,65,0,219
CN06-021,40,30,Female,2006,1,95,65,0,220
CN06-021,44,NA,Female,2006,1,125,85,0,228
CN06-023,40,NA,Female,2006,1,55,115,CN06-013,255
CN06-023,37,NA,Female,2006,1,45,115,CN06-013,254
CN06-023,38,NA,Female,2006,1,55,125,CN06-013,229
CN06-023,36,52,Female,2006,1,55,135,CN06-013,165
CN06-024,38,56,Female,2006,1,35,135,0,165
CN06-024,39,NA,Female,2006,1,45,145,0,228
CN06-025,40,59,Female,2007,2,205,115,0,163
CN06-025,33,71,Female,2007,2,195,115,0,250
CN06-025,41,63,Female,2007,2,195,105,0,170
CN06-025,40,NA,Female,2006,1,195,115,0,264
CN06-025,40,NA,Female,2006,1,205,125,0,263
CN06-025,40,NA,Female,2006,1,195,75,0,242
CN06-025,42,NA,Female,2006,1,195,85,0,227
CN06-025,47,64,Female,2006,1,205,75,0,199
CN06-025,49,64,Female,2006,1,195,105,0,184
CN06-025,41,NA,Female,2006,1,195,75,0,243
CN06-025,39,64,Female,2007,2,195,115,0,198
CN06-027,49,64,Male,2007,2,155,65,0,225
CN06-027,45,60,Male,2007,2,145,55,0,162
CN06-027,46,58,Male,2007,2,165,85,0,163
CN06-027,46,56,Male,2007,2,155,55,0,169
CN06-027,47,61,Male,2007,2,145,85,0,170
CN06-027,46,68,Male,2007,2,115,55,0,197
CN06-027,47,63,Male,2007,2,145,95,0,198
CN06-027,48,60,Male,2007,2,155,85,0,226
CN06-027,46,NA,Male,2006,1,215,35,0,269
CN06-027,NA,NA,Male,2006,1,225,75,0,198
CN06-027,44,NA,Male,2006,1,205,85,0,263
CN06-027,40,NA,Male,2006,1,205,75,0,243
CN06-027,NA,NA,Male,2006,1,215,45,0,242
CN06-027,43,NA,Male,2006,1,195,65,0,242
CN06-027,43,NA,Male,2006,1,205,85,0,229
CN06-027,41,NA,Male,2006,1,165,65,0,199
CN06-027,40,NA,Male,2006,1,205,75,0,264
CN06-027,46,60,Male,2006,1,205,115,0,185
CN06-027,45,NA,Male,2006,1,205,115,0,228
CN06-028,19,46,Female,2006,0,215,105,CN06-025,185
CN06-033,41,55,Female,2006,1,255,135,0,198
CN06-033,NA,NA,Female,2006,1,285,125,0,275
CN06-033,37,NA,Female,2006,1,275,95,0,269
CN06-033,36,NA,Female,2006,1,285,65,0,243
CN06-033,37,NA,Female,2006,1,275,75,0,242
CN06-033,35,NA,Female,2006,1,265,115,0,235
CN06-033,38,NA,Female,2006,1,255,135,0,234
CN06-033,NA,NA,Female,2006,1,285,75,0,201
CN06-033,42,NA,Female,2006,1,255,145,0,199
CN06-033,41,NA,Female,2006,1,285,75,0,200
CN06-034,34,NA,Female,2006,1,285,115,0,234
CN06-034,36,54,Female,2006,1,265,125,0,198
CN06-034,38,NA,Female,2006,1,315,125,0,200
CN06-034,34,NA,Female,2006,1,315,95,0,201
CN06-035,49,54,Female,2006,1,275,95,0,198
CN06-035,45,NA,Female,2006,1,275,85,0,199
