animal,dam,sire
CN05-F2,NA,NA
CN05-F4,NA,NA
CN05-F5,NA,NA
CN05-F6,NA,NA
CN05-M2,NA,NA
CN05-M3,NA,NA
CN05-M4,NA,NA
CN05-M5,NA,NA
CN05-M6,NA,NA
CN06-001,NA,NA
CN06-002,NA,NA
CN06-004,NA,NA
CN06-005,NA,NA
CN06-006,NA,NA
CN06-007,NA,NA
CN06-010,NA,NA
CN06-012,NA,NA
CN06-013,NA,NA
CN06-014,NA,NA
CN06-015,NA,NA
CN06-017,NA,NA
CN06-018,NA,NA
CN06-021,NA,NA
CN06-024,NA,NA
CN06-025,NA,NA
CN06-027,NA,NA
CN06-033,NA,NA
CN06-034,NA,NA
CN06-035,NA,NA
CN06-036,NA,NA
CN06-037,NA,NA
CN06-038,NA,NA
CN06-039,NA,NA
CN06-040,NA,NA
CN06-042,NA,NA
CN06-044,NA,NA
CN06-051,NA,NA
CN06-052,NA,NA
CN06-053,NA,NA
CN06-055,NA,NA
CN06-056,NA,NA
CN06-058,NA,NA
CN06-061,NA,NA
CN06-062,NA,NA
CN06-063,NA,NA
CN06-064,NA,NA
CN06-076,NA,NA
CN06-077,NA,NA
CN06-081,NA,NA
CN06-084,NA,NA
CN06-085,NA,NA
CN06-086,NA,NA
CN06-104,NA,NA
CN06-108,NA,NA
CN06-114,NA,NA
CN06-126,NA,NA
CN06-132,NA,NA
CN06-148,NA,NA
CN06-150,NA,NA
CN06-185,NA,NA
CN06-205,NA,NA
CN06-F12,NA,NA
CN06-F13,NA,NA
CN06-F14,NA,NA
CN06-F3,NA,NA
CN06-F5,NA,NA
CN06-M10,NA,NA
CN06-M11,NA,NA
CN06-M12,NA,NA
CN06-M13,NA,NA
CN06-M15,NA,NA
CN06-M16,NA,NA
CN06-M18,NA,NA
CN06-M5,NA,NA
CN06-M7,NA,NA
CN06-M9,NA,NA
CN07-001,NA,NA
CN07-006,NA,NA
CN07-014,NA,NA
CN07-029,NA,NA
CN07-033,NA,NA
CN07-054,NA,NA
CN07-055,NA,NA
CN07-059,NA,NA
CN07-084,NA,NA
CN07-105,NA,NA
CN07-154,NA,NA
CN07-161,NA,NA
CN07-179,NA,NA
CN07-F1,NA,NA
CN07-M10,NA,NA
CN07-M15,NA,NA
CN07-M2,NA,NA
CN07-M4,NA,NA
CN07-M6,NA,NA
CN08-010,NA,NA
CN08-013,NA,NA
CN08-014,NA,NA
CN08-020,NA,NA
CN08-023,NA,NA
CN08-026,NA,NA
CN08-027,NA,NA
CN08-050,NA,NA
CN08-051,NA,NA
