repeats,individual,distance,year,RunAway
1,1,2.39810715401498,2013,1
2,1,2.00630140890129,2013,1
3,1,4.0267850560749,2014,0
4,1,3.75106130260632,2014,1
5,1,1.4908334626713,2015,1
6,1,2.90485254915071,2015,0
7,1,2.1040521772435,2016,1
8,1,0.929248929458036,2016,1
9,1,3.15012013118814,2017,0
10,1,2.92078829074141,2017,1
1,2,2.90263073248692,2013,1
2,2,3.21615254180123,2013,0
3,2,3.88246516439659,2014,1
4,2,3.20559750448339,2014,1
5,2,2.38356415712647,2015,1
6,2,2.26520074807872,2015,1
7,2,2.86819720695882,2016,1
8,2,3.31001698657895,2016,1
9,2,1.96031964729796,2017,1
10,2,2.81569113115762,2017,1
1,3,3.96726726016791,2013,1
2,3,2.89171990876551,2013,1
3,3,2.30157933240561,2014,1
4,3,2.72405483157446,2014,1
5,3,4.11464854536198,2015,0
6,3,3.55004396121414,2015,0
7,3,4.23667580008161,2016,1
8,3,3.13909785716177,2016,1
9,3,3.41027509649042,2017,1
10,3,2.44154308765187,2017,0
1,4,3.60537066893033,2013,1
2,4,2.49366645781076,2013,1
3,4,1.57943449530426,2014,1
4,4,3.12799296568413,2014,1
5,4,4.94585121773144,2015,1
6,4,3.80091433957306,2015,0
7,4,4.16525338994626,2016,1
8,4,3.35885572309315,2016,1
9,4,2.39144282168378,2017,0
10,4,2.79775914488972,2017,1
1,5,2.72675189318807,2013,1
2,5,2.53130022021791,2013,1
3,5,3.70416728392972,2014,0
4,5,1.80263649763459,2014,0
5,5,3.86636613211277,2015,1
6,5,3.86415248622589,2015,1
7,5,1.80137764093125,2016,1
8,5,3.63949199790053,2016,1
9,5,5.43022665234451,2017,1
10,5,2.44278451805839,2017,1
1,6,3.84490424140807,2013,0
2,6,2.2177981543806,2013,1
3,6,4.1107114182028,2014,1
4,6,3.24982471992656,2014,0
5,6,4.65191539162316,2015,1
6,6,1.54102927146308,2015,1
7,6,2.94870211387464,2016,1
8,6,2.4730748238744,2016,1
9,6,2.8027351309237,2017,1
10,6,2.37042125731399,2017,1
1,7,2.166156419465,2013,1
2,7,3.57872237461645,2013,0
3,7,1.91241928592307,2014,1
4,7,4.48403093155628,2014,1
5,7,1.81379341468625,2015,1
6,7,3.10107915139528,2015,1
7,7,3.53298928682648,2016,1
8,7,3.58673533909263,2016,1
9,7,2.69825333613362,2017,1
10,7,3.0795019953284,2017,1
1,8,3.96126415180968,2013,1
2,8,1.54353408292357,2013,1
3,8,2.21826028846792,2014,0
4,8,3.32040231431661,2014,1
5,8,2.55521802166301,2015,1
6,8,4.370003993971,2015,1
7,8,3.67325386335484,2016,1
8,8,3.07216675241476,2016,0
9,8,1.49224268246332,2017,1
10,8,3.02610022532624,2017,0
1,9,2.68358413180301,2013,1
2,9,2.8976534864794,2013,1
3,9,1.81844077294431,2014,1
4,9,3.49865804382992,2014,1
5,9,1.96104355969297,2015,1
6,9,2.77377801855759,2015,1
7,9,3.38142582945135,2016,0
8,9,2.21648421098695,2016,0
9,9,3.58299140568006,2017,1
10,9,1.68348959834831,2017,1
1,10,0.190225321039458,2013,0
2,10,3.46496799078585,2013,1
3,10,3.840539826961,2014,0
4,10,2.71415457640862,2014,1
5,10,3.50412625459161,2015,0
6,10,1.84408347491633,2015,0
7,10,2.87285139317434,2016,1
8,10,1.05848162395938,2016,0
9,10,4.18118089143852,2017,1
10,10,4.85991086154316,2017,0
1,11,4.07401226028199,2013,1
2,11,2.97265303358626,2013,1
3,11,2.96666965772408,2014,1
4,11,1.4839323768489,2014,1
5,11,3.79038534388823,2015,1
6,11,2.78926581930822,2015,1
7,11,2.34325707463892,2016,1
8,11,1.58797420734169,2016,1
9,11,2.70023750335373,2017,0
10,11,2.15093886498329,2017,1
1,12,2.60296947967216,2013,1
2,12,1.7824000122364,2013,1
3,12,4.6875894829457,2014,1
4,12,2.98399747279203,2014,1
5,12,4.07494507727239,2015,1
6,12,0.398300329742348,2015,1
7,12,2.54680217000516,2016,0
8,12,2.32451770840793,2016,1
9,12,1.77707382063409,2017,1
10,12,4.54660915422409,2017,1
1,13,1.58471808023051,2013,1
2,13,3.31839026040803,2013,1
3,13,3.84643628557969,2014,0
4,13,3.17819018841802,2014,1
5,13,2.12474452250448,2015,0
6,13,3.94116580672417,2015,1
